Alexis Bledel,16 September 1981,False,116,Vincent Kartheiser,05 May 1979,False,-1,01 June 2014,None,1,False
Julia Roberts,28 October 1967,False,473,Daniel Moder,31 January 1969,False,-1,04 July 2002,None,3,False
Nicolas Cage,07 January 1964,False,127,Alice Kim Cage,None,False,-1,30 July 2004,None,1,False
Brendan Fraser,03 December 1968,False,297,Afton Smith,03 December 1967,False,-1,27 September 1998,17 April 2008,3,True
Jude Law,29 December 1972,False,453,Sadie Frost,19 June 1965,False,-1,02 September 1997,29 October 2003,3,True
Debbie Reynolds,01 April 1932,False,79,Eddie Fisher,10 August 1928,False,-1,26 September 1955,01 January 1959,2,True
Amanda Peet,11 January 1972,False,101,David Benioff,25 September 1970,False,-1,30 September 2006,None,3,False
Brad Pitt,18 December 1963,False,74,Jennifer Aniston,11 February 1969,False,170,29 July 2000,02 October 2005,0,True
Anna Faris,29 November 1976,False,352,Ben Indra,23 February 1979,False,-1,03 June 2004,19 February 2008,0,True
Sofía Vergara,10 July 1972,False,93,Joe Manganiello,28 December 1976,False,-1,22 November 2015,None,0,False
Kristen Bell,18 July 1980,False,157,Dax Shepard,02 January 1975,False,313,17 October 2013,None,2,False
Megan Fox,16 May 1986,False,248,Brian Austin Green,15 July 1973,False,-1,24 June 2010,None,3,False
Jeremy Renner,07 January 1971,False,207,Sonni Pacheco,None,False,-1,13 January 2014,28 December 2015,1,True
Ben Mendelsohn,03 April 1969,False,330,Emma Forrest,26 December 1976,False,-1,03 June 2012,None,1,True
Rachel Nichols,08 January 1980,False,21,Michael Kershaw,None,True,-1,27 September 2014,None,0,False
Chris Pratt,21 June 1979,False,39,Anna Faris,29 November 1976,False,352,09 July 2009,None,1,False
Benedict Cumberbatch,19 July 1976,False,50,Sophie Hunter,16 March 1978,False,-1,14 February 2015,None,1,False
Jane Levy,29 December 1989,False,120,Jaime Freitas,None,False,-1,03 March 2011,01 January 2013,0,True
Vincent D'Onofrio,30 June 1959,False,118,Carin van der Donk,None,True,-1,22 March 1997,None,2,False
Rufus Sewell,29 October 1967,False,290,Amy Gardner,None,False,-1,01 February 2004,01 January 2006,1,True
Kathryn Hahn,23 July 1973,False,494,Ethan Sandler,03 December 1972,False,-1,03 January 2002,None,2,False
Viggo Mortensen,20 October 1958,False,156,Exene Cervenka,01 February 1956,False,-1,08 July 1987,13 March 1998,1,True
Milla Jovovich,17 December 1975,False,277,Paul W.S. Anderson,04 March 1965,False,-1,22 August 2009,None,2,False
Thandie Newton,06 November 1972,False,149,Ol Parker,None,False,-1,11 July 1998,None,3,False
Mireille Enos,22 September 1975,False,448,Alan Ruck,01 July 1956,False,-1,04 January 2008,None,2,False
Joan Cusack,11 October 1962,False,282,Richard Burke,None,True,-1,01 January 1993,None,2,False
Hayley Mills,18 April 1946,False,316,Roy Boulting,21 November 1913,False,-1,01 June 1971,01 January 1976,1,True
Jessica Biel,03 March 1982,False,192,Justin Timberlake,31 January 1981,False,-1,19 October 2012,None,1,False
Meryl Streep,22 June 1949,False,6,Don Gummer,12 December 1946,False,-1,30 September 1978,None,4,False
Kyle Richards,11 January 1969,False,212,Guraish Aldjufrie,None,True,-1,01 January 1988,01 January 1992,1,True
Jennifer Aniston,11 February 1969,False,170,Justin Theroux,10 August 1971,False,369,05 August 2015,None,0,False
Joely Richardson,09 January 1965,False,138,Tim Bevan,20 December 1957,False,-1,10 January 1992,12 July 2001,1,True
Todd Fisher,24 February 1958,False,259,Donna Jean Freberg,23 July 1956,False,-1,15 February 1981,None,0,False
Alice Eve,06 February 1982,False,267,Alex Cowper-Smith,None,True,-1,31 December 2014,None,0,False
Danica McKellar,03 January 1975,False,197,Mike Verta,20 June 1972,False,-1,22 March 2009,01 January 2013,1,True
Keira Knightley,26 March 1985,False,226,James Righton,25 August 1983,False,-1,04 May 2013,None,1,False
Michael Peña,13 January 1976,False,355,Brie Shaffer,None,False,-1,01 January 2006,None,1,False
Goldie Hawn,21 November 1945,False,258,Gus Trikonis,21 November 1937,False,-1,16 May 1969,22 June 1976,0,True
Daniel Day-Lewis,29 April 1957,False,363,Rebecca Miller,15 September 1962,False,-1,13 November 1996,None,2,False
Renée Zellweger,25 April 1969,False,190,Kenny Chesney,26 March 1968,False,-1,09 May 2005,None,0,False
Harrison Ford,13 July 1942,False,155,Calista Flockhart,11 November 1964,False,-1,15 June 2010,None,1,False
Clive Standen,22 July 1981,False,336,Francesca Standen,None,True,-1,01 January 2007,None,3,False
Rachel Nichols,08 January 1980,False,21,Scott Stuber,None,False,-1,26 July 2008,01 January 2009,0,True
Giovanni Ribisi,17 December 1974,False,375,Agyness Deyn,16 February 1983,False,-1,15 June 2012,26 November 2015,0,True
Ginnifer Goodwin,22 May 1978,False,388,Josh Dallas,18 December 1978,False,-1,12 April 2014,None,2,False
Denzel Washington,28 December 1954,False,82,Pauletta Washington,28 September 1950,False,-1,25 June 1983,None,4,False
Vera Farmiga,06 August 1973,False,484,Renn Hawkey,29 March 1974,False,-1,13 September 2008,None,2,False
Drew Barrymore,22 February 1975,False,408,Will Kopelman,None,False,-1,02 June 2012,03 August 2016,2,True
Goldie Hawn,21 November 1945,False,258,Bill Hudson,17 October 1949,False,-1,03 July 1976,19 March 1982,2,True
Robin Wright,08 April 1966,False,275,Dane Witherspoon,27 December 1957,False,-1,01 January 1986,01 January 1988,0,True
Blake Lively,25 August 1987,False,57,Ryan Reynolds,23 October 1976,False,71,09 September 2012,None,2,False
Gillian Anderson,09 August 1968,False,295,Clyde Klotz,08 June 1961,False,-1,01 January 1994,01 February 1997,1,True
Anthony Hopkins,31 December 1937,False,422,Stella Arroyave,None,False,-1,01 March 2003,None,0,False
Jim Carrey,17 January 1962,False,284,Melissa Carrey,08 July 1960,False,-1,28 March 1987,11 December 1995,1,True
Scarlett Johansson,22 November 1984,False,51,Romain Dauriac,None,True,-1,01 October 2014,None,1,False
Martin Scorsese,17 November 1942,False,161,Isabella Rossellini,18 June 1952,False,-1,29 September 1979,01 November 1982,0,True
Natalie Portman,09 June 1981,False,33,Benjamin Millepied,15 June 1977,False,-1,04 August 2012,None,1,False
Michelle Forbes,08 January 1965,False,168,Ross Kettle,15 September 1961,False,-1,01 January 1990,None,0,True
Robert De Niro,17 August 1943,False,262,Grace Hightower,07 April 1955,False,-1,17 June 1997,None,2,False
Olivia Wilde,10 March 1984,False,273,Tao Ruspoli,07 November 1975,False,-1,16 January 2003,29 September 2011,0,True
Malin Akerman,12 May 1978,False,426,Roberto Zincone,None,False,-1,20 June 2007,None,1,True
Diego Luna,29 December 1979,False,58,Camila Sodi,14 May 1986,False,-1,05 February 2008,01 January 2013,2,True
Tom Hardy,15 September 1977,False,1,Sarah Ward,None,True,-1,01 January 1999,01 January 2004,0,True
Nicole Kidman,20 June 1967,False,153,Keith Urban,26 October 1967,False,-1,25 June 2006,None,2,False
Martin Scorsese,17 November 1942,False,161,Laraine Brennan,None,True,-1,15 May 1965,None,1,True
Mads Mikkelsen,22 November 1965,False,232,Hanne Jacobsen,13 January 1961,False,-1,02 December 2000,None,2,False
Noomi Rapace,28 December 1979,False,368,Ola Rapace,03 December 1971,False,-1,01 January 2001,01 January 2011,1,True
Clayne Crawford,20 April 1978,False,361,Sunshine Kiki Brown,None,True,-1,None,None,0,False
Tia Carrere,02 January 1967,False,142,Simon Wakelin,None,False,-1,31 December 2002,12 August 2010,1,True
Cobie Smulders,03 April 1982,False,122,Taran Killam,01 April 1982,False,-1,08 September 2012,None,2,False
Mädchen Amick,12 December 1970,False,317,David Alexis,None,True,-1,16 December 1995,None,2,False
Idris Elba,06 September 1972,False,252,Henne (Kim) Norgaard,None,True,-1,01 June 1999,01 January 2003,1,True
Tom Hanks,09 July 1956,False,117,Rita Wilson,26 October 1956,False,-1,30 April 1988,None,2,False
Eddie Redmayne,06 January 1982,False,158,Hannah Bagshawe,None,True,-1,15 December 2014,None,1,False
Rufus Sewell,29 October 1967,False,290,Yasmin Abdallah,None,True,-1,24 March 1999,01 January 2000,0,True
Harrison Ford,13 July 1942,False,155,Melissa Mathison,03 June 1950,False,-1,14 March 1983,06 January 2004,2,True
Harrison Ford,13 July 1942,False,155,Mary Marquardt,None,True,-1,18 June 1964,03 October 1979,2,True
Sean Young,20 November 1959,False,410,Robert Lujan,None,False,-1,01 January 2011,None,0,False
Teresa Palmer,26 February 1986,False,75,Mark Webber,19 July 1980,False,-1,21 December 2013,None,2,False
Angelina Jolie,04 June 1975,False,307,Jonny Lee Miller,15 November 1972,False,-1,28 March 1996,03 February 1999,0,True
